geonameid,name,asciiname,country_code,admin1_code,admin2_code,admin3_code,admin4_code,feature_class,feature_code,population,latitude,longitude,timezone,geonames_modified_at,in_cities15000,in_cities5000,in_cities1000,in_cities500,assigned_phase
1803318,Linyi,Linyi,CN,25,3713,,,P,PPLA2,2743843,35.06306,118.34278,Asia/Shanghai,2024-07-20,true,true,true,true,cities15000
1803325,Chang’an,Chang'an,CN,11,4306,,,P,PPLA3,0,29.48128,113.44032,Asia/Shanghai,2025-04-15,false,false,true,true,cities1000
1803326,Linquan,Linquan,CN,24,1411,,,P,PPLA3,0,37.97965,111.02059,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803327,Linzhou,Linzhou,CN,09,4105,,,P,PPLA3,0,36.06545,113.81547,Asia/Shanghai,2025-04-15,false,false,true,true,cities1000
1803331,Linxia Chengguanzhen,Linxia Chengguanzhen,CN,15,6229,,,P,PPLA3,274466,35.60028,103.20639,Asia/Shanghai,2025-08-20,true,true,true,true,cities15000
1803334,Linxi,Linxi,CN,10,1302,,,P,PPL,100316,39.71183,118.44954,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
1803335,Linxi,Linxi,CN,01,3418,,,P,PPLA4,0,29.99023,118.5353,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803340,Linwu Chengguanzhen,Linwu Chengguanzhen,CN,11,4310,,,P,PPLA3,0,25.23247,112.53981,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803342,Lintou,Lintou,CN,30,4409,,,P,PPLA4,0,21.66572,111.04865,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803346,Lintingkou,Lintingkou,CN,28,12324202,,,P,PPL,3521,39.63028,117.50028,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803352,Linshui,Linshui,CN,10,1304,,,P,PPL,109955,36.42472,114.20472,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
1803353,Linshi,Linshi,CN,33,8739734,,,P,PPLA4,41730,29.66698,107.19233,Asia/Shanghai,2022-06-05,true,true,true,true,cities15000
1803354,Linshe,Linshe,CN,07,3504,,,P,PPLA4,0,26.31839,117.07119,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803355,Linshanhe,Linshanhe,CN,12,4211,,,P,PPLA4,0,30.74267,114.88409,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803356,Linshan,Linshan,CN,02,3302,,,P,PPLA4,0,30.15395,120.99182,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803359,Ruzhou,Ruzhou,CN,09,4104,,,P,PPLA3,0,34.16167,112.82972,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803362,Linquan Chengguanzhen,Linquan Chengguanzhen,CN,01,3412,,,P,PPLA3,0,33.08506,115.29023,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803364,Linqu,Linqu,CN,25,3707,,,P,PPL,299646,36.51556,118.53972,Asia/Shanghai,2021-09-22,true,true,true,true,cities15000
1803365,Linqiong,Linqiong,CN,32,5101,,,P,PPLS,55587,30.41587,103.46089,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
1803367,Qingnian,Qingnian,CN,25,3715,,,P,PPLA3,110046,36.84092,115.71087,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
1803370,Linqi,Linqi,CN,02,3301,,,P,PPLA4,0,29.85278,119.11551,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803372,Linpu,Linpu,CN,02,3301,,,P,PPLA4,0,30.04406,120.24493,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803373,Linping,Linping,CN,26,6104,,,P,PPLA4,0,34.46444,108.09667,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803374,Linping,Linping,CN,02,3301,,,P,PPLA3,78180,30.4225,120.29722,Asia/Shanghai,2021-09-19,true,true,true,true,cities15000
